magic_number,mode,loop_number,current_time,dt,voltage_A,voltage_B,dt_telemetry,dt_observer,dt_controller,dt_change_mode,euler_raw_0[0],euler_raw_0[1],euler_raw_0[2],euler_raw_1[0],euler_raw_1[1],euler_raw_1[2],quaternion_raw_0[0],quaternion_raw_0[1],quaternion_raw_0[2],quaternion_raw_0[3],quaternion_raw_1[0],quaternion_raw_1[1],quaternion_raw_1[2],quaternion_raw_1[3],acc_raw_0[0],acc_raw_0[1],acc_raw_0[2],acc_raw_1[0],acc_raw_1[1],acc_raw_1[2],gyro_raw_0[0],gyro_raw_0[1],gyro_raw_0[2],gyro_raw_1[0],gyro_raw_1[1],gyro_raw_1[2],quaternion_dot[0],quaternion_dot[1],quaternion_dot[2],euler_dot[0],euler_dot[1],euler_dot[2],cbn[0],cbn[1],cbn[2],cbn[3],cbn[4],cbn[5],cbn[6],cbn[7],cbn[8],euler[0],euler[1],euler[2],quaternion[0],quaternion[1],quaternion[2],quaternion[3],velocity[0],velocity[1],velocity[2],y[0],y[1],y[2],y[3],x[0],x[1],x[2],x[3],x[4],x[5],dx[0],dx[1],dx[2],dx[3],dx[4],dx[5],current_u[0],current_u[1],servo_u[0],servo_u[1],footer,
3735928559,1,600,41.68462,0.185,4.3957030614838,0.2126953094266355,122,4,157,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797487200824877e-261,2.8358786843744047e-37,4.047e-320,2.234786220071311e+79,1.1125369292576476e-308,1.39067115411981e-309,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,630,43.27669,0.184,4.431152279721573,0.14179687295109034,124,3,159,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0482429693329344e-261,2.8358786843744047e-37,4.047e-320,2.234786220071311e+79,1.1125369292576476e-308,1.39067115411981e-309,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,660,44.868795,0.186,4.431152279721573,0.2126953094266355,124,4,157,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234786220071311e+79,1.1125369292576476e-308,1.39067115411981e-309,0.0,nan,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,690,46.460857,0.184,4.3957030614838,0.2481445276644081,124,3,157,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234786220071311e+79,1.1125369292576476e-308,1.39067115411981e-309,0.0,nan,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,720,48.052955,0.184,4.3957030614838,0.28359374590218067,123,3,157,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83587888821612e-37,4.047e-320,1.39067115411981e-309,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,750,49.645027,0.186,4.3957030614838,0.17724609118886292,126,4,160,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2250738585072014e-308,-3.1697671868139915e+270,nan,1.1546321352206386e-14,-2.790063231249653e+272,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,780,51.237118,0.185,4.3957030614838,0.2481445276644081,125,3,160,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2250738585072014e-308,-3.1697671868139915e+270,nan,1.1546321352206386e-14,-2.790063231249653e+272,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,810,52.829192,0.184,4.431152279721573,0.10634765471331775,126,3,160,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24246354848294e-308,0.0,1.4149498557734657e-71,4.763045335564907e-308,3.682248471978803e-270,-4.3376907637912734e+222,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,840,54.421289,0.185,4.431152279721573,0.2126953094266355,126,3,161,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24246354848294e-308,0.0,1.4149498557734657e-71,4.763045335564907e-308,7.506508345687271e-60,4.047e-320,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,870,56.013356,0.187,4.3957030614838,0.2126953094266355,124,3,157,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24246354848294e-308,5.671757775118523e-37,4.047e-320,1.7381736372964e-310,0.0,3.7266143864253403e-270,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,900,57.605461,0.187,4.360253843246028,0.2126953094266355,124,4,158,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24246354848294e-308,5.671757775118523e-37,4.047e-320,1.7381736372964e-310,0.0,3.7266143864253403e-270,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,930,59.197522,0.185,4.3957030614838,0.2481445276644081,124,3,158,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24246354848294e-308,5.671757775118523e-37,4.047e-320,1.7381736372964e-310,0.0,3.7266143864253403e-270,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,960,60.789618,0.186,4.431152279721573,0.2126953094266355,123,4,158,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73814969660495e-310,3.032773452793913e-36,4.047e-320,2.9874336999754986e+79,1.1125369292900267e-308,1.39067115411981e-309,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
3735928559,1,990,62.381693,0.184,4.431152279721573,0.10634765471331775,124,3,158,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.1599999964237213,-9.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.506508476668613e-60,1.1125369292576476e-308,-1.3764285390047412e-21,1.04278006931417e-309,3.6674617771170016e-270,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,95.0,81.0,3405707998,
