magic_number,mode,euler[0], euler[1], euler[2], v_e[0], v_e[1], v_e[2], u[0], u[1], dt,footer,time
3735928559,0,-0.40632498264312744,-0.2972783148288727,-0.08886701613664627,3.1409664154052734,1.3980199098587036,0.9722223281860352,0.0,0.0,0.005040000192821026,3405707998,57.90
3735928559,0,-0.3896695375442505,-0.2273532599210739,-0.11158019304275513,3.3889670372009277,1.509136438369751,1.0524053573608398,0.0,0.0,0.005040000192821026,3405707998,58.07
3735928559,0,-0.3391943573951721,-0.17159366607666016,-0.13545896112918854,3.636883497238159,1.6194206476211548,1.130210280418396,0.0,0.0,0.005040000192821026,3405707998,58.20
3735928559,0,-0.19971489906311035,-0.10485471785068512,-0.17280298471450806,3.8846781253814697,1.7296969890594482,1.2089745998382568,0.0,0.0,0.005040000192821026,3405707998,58.39
3735928559,0,-0.21151643991470337,-0.10487685352563858,-0.1751391887664795,4.132622241973877,1.8368024826049805,1.288468360900879,0.0,0.0,0.005040000192821026,3405707998,58.52
3735928559,0,-0.23984837532043457,-0.0742010697722435,-0.1855536848306656,4.3793816566467285,1.9467893838882446,1.366932988166809,0.0,0.0,0.005040000192821026,3405707998,58.65
3735928559,0,-0.19888606667518616,-0.12149807810783386,-0.19630774855613708,4.629088878631592,2.055205821990967,1.442762851715088,0.0,0.0,0.0050409999676048756,3405707998,58.83
3735928559,0,-0.20989173650741577,-0.21287734806537628,-0.20404542982578278,4.874422550201416,2.163877487182617,1.5296072959899902,0.0,0.0,0.005038999952375889,3405707998,58.95
3735928559,0,-0.3209086060523987,-0.16406382620334625,-0.20081232488155365,5.123034954071045,2.2701706886291504,1.6025047302246094,0.0,0.0,0.005040000192821026,3405707998,59.13
3735928559,0,-0.34452342987060547,-0.24832658469676971,-0.20918843150138855,5.368097305297852,2.379720687866211,1.6843699216842651,0.0,0.0,0.005040000192821026,3405707998,59.26
3735928559,0,-0.29246899485588074,-0.24213048815727234,-0.22559219598770142,5.616286754608154,2.4869041442871094,1.7597566843032837,0.0,0.0,0.005040000192821026,3405707998,59.44
3735928559,0,-0.35234320163726807,-0.3098340928554535,-0.22072534263134003,5.861267566680908,2.593318223953247,1.8449105024337769,0.0,0.0,0.005040000192821026,3405707998,59.56
3735928559,0,-0.37196576595306396,-0.2902274429798126,-0.234071746468544,6.106196880340576,2.700880765914917,1.9193873405456543,0.0,0.0,0.005038999952375889,3405707998,59.75
3735928559,0,-0.38456860184669495,-0.35716018080711365,-0.23449185490608215,6.352302551269531,2.8086371421813965,1.9995956420898438,0.0,0.0,0.005038999952375889,3405707998,59.88
3735928559,0,-0.3749690353870392,-0.31479135155677795,-0.2561335265636444,6.596336841583252,2.914874792098999,2.08266019821167,0.0,0.0,0.005040000192821026,3405707998,60.01
3735928559,0,-0.37413910031318665,-0.3329581022262573,-0.2676490843296051,6.843997955322266,3.022585868835449,2.156867265701294,0.0,0.0,0.005038999952375889,3405707998,60.18
3735928559,0,-0.35754477977752686,-0.3810548484325409,-0.2728537917137146,7.08867883682251,3.1263859272003174,2.2367804050445557,0.0,0.0,0.005040000192821026,3405707998,60.31
3735928559,0,-0.4189484119415283,-0.5283272862434387,-0.2766248881816864,7.332630634307861,3.2326958179473877,2.316948413848877,0.0,0.0,0.005040000192821026,3405707998,60.49
3735928559,0,-0.3430933356285095,-0.5119794011116028,-0.3090977072715759,7.576977252960205,3.3417391777038574,2.395806074142456,0.0,0.0,0.005040000192821026,3405707998,60.62
3735928559,0,-0.30196502804756165,-0.520756721496582,-0.32159480452537537,7.822054386138916,3.4447267055511475,2.4796738624572754,0.0,0.0,0.0050409999676048756,3405707998,60.80
3735928559,0,-0.4225872755050659,-0.5860353708267212,-0.30690908432006836,8.063857078552246,3.550936222076416,2.5563299655914307,0.0,0.0,0.005040000192821026,3405707998,60.92
3735928559,0,-0.3254813849925995,-0.6767453551292419,-0.33866333961486816,8.30522346496582,3.6604862213134766,2.636162757873535,0.0,0.0,0.005040000192821026,3405707998,61.11
3735928559,0,-0.11153402179479599,-0.6501765847206116,-0.3804788291454315,8.550137519836426,3.7652463912963867,2.7157135009765625,0.0,0.0,0.005040000192821026,3405707998,61.24
3735928559,0,-0.13890253007411957,-0.7895965576171875,-0.3975309133529663,8.795467376708984,3.870246648788452,2.796356201171875,0.0,0.0,0.005040000192821026,3405707998,61.37
3735928559,0,-0.07547979056835175,-0.7164201736450195,-0.42609143257141113,9.034103393554688,3.974667549133301,2.8854918479919434,0.0,0.0,0.005040000192821026,3405707998,61.55
3735928559,0,-0.037505779415369034,-0.6731253266334534,-0.4363577365875244,9.27782154083252,4.077334403991699,2.961641788482666,0.0,0.0,0.005040000192821026,3405707998,61.67
3735928559,0,-0.002662479178979993,-0.5471415519714355,-0.46401989459991455,9.517922401428223,4.185953617095947,3.046738624572754,0.0,0.0,0.005038999952375889,3405707998,61.86
3735928559,0,-0.05057673528790474,-0.17626503109931946,-0.4598662257194519,9.75793170928955,4.283402442932129,3.142756700515747,0.0,0.0,0.005040000192821026,3405707998,61.99
