magic_number,mode,loop_number,current_time,dt,voltage_A,voltage_B,dt_telemetry,dt_observer,dt_controller,dt_change_mode,euler_raw_0[0],euler_raw_0[1],euler_raw_0[2],euler_raw_1[0],euler_raw_1[1],euler_raw_1[2],quaternion_raw_0[0],quaternion_raw_0[1],quaternion_raw_0[2],quaternion_raw_0[3],quaternion_raw_1[0],quaternion_raw_1[1],quaternion_raw_1[2],quaternion_raw_1[3],acc_raw_0[0],acc_raw_0[1],acc_raw_0[2],acc_raw_1[0],acc_raw_1[1],acc_raw_1[2],gyro_raw_0[0],gyro_raw_0[1],gyro_raw_0[2],gyro_raw_1[0],gyro_raw_1[1],gyro_raw_1[2],quaternion_dot[0],quaternion_dot[1],quaternion_dot[2],quaternion_dot[3],euler_dot[0],euler_dot[1],euler_dot[2],cbn[0],cbn[1],cbn[2],cbn[3],cbn[4],cbn[5],cbn[6],cbn[7],cbn[8],euler[0],euler[1],euler[2],quaternion[0],quaternion[1],quaternion[2],quaternion[3],velocity[0],velocity[1],velocity[2],y[0],y[1],y[2],y[3],x[0],x[1],x[2],x[3],x[4],x[5],dx[0],dx[1],dx[2],dx[3],dx[4],dx[5],current_u[0],current_u[1],servo_u[0],servo_u[1],foote,
3735928559,0,0,15.098985,4279.868355,5.246484299190342,0.31904296413995326,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,7.55,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9876711964607239,-0.12100698798894882,-0.0993121936917305,0.0,0.6344097852706909,-0.7729969024658203,0.15654265880584717,0.7634667754173279,0.6265882849693298,0.883551625025878,-0.15718917450657197,0.0,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,30,15.778654,0.001095,5.21103508095257,0.2481445276644081,95,976,0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,7.57,5.94,0.0,0.0,0.0,3.25,-1.9375,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13803408936221176,0.06525257638128285,-0.010279264112754859,0.9878539443016052,-0.11991859972476959,-0.09881322085857391,0.00026062800316140056,0.6372080445289612,-0.7706962823867798,0.1553848683834076,0.7613096237182617,0.6294943690299988,0.878668280365297,-0.15545419809395097,0.00019471843962935633,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,3743.4326977302453,20253.42012327555,-26405.13416642254,0.0,-0.15545419809395097,0.0,0.878668280365297,0.0,-0.15545419809395097,142.29233345040242,0.0,0.878668280365297,-804.0431402627396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,60,16.443265,0.001094,5.281933517428115,0.2126953094266355,95,977,0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,7.71,5.71,0.0,0.0,0.0,-0.75,-1.3125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008465137984291916,0.005153119243940046,0.026198638282193442,0.9869277477264404,-0.14339694380760193,-0.07355939596891403,0.03809910640120506,0.6516754031181335,-0.7580520510673523,0.15659542381763458,0.7453400492668152,0.6480324864387512,0.8550626238522052,-0.1572071063244206,0.038765071712772776,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,5006.948480110777,20658.427742264408,-25892.554906885154,0.0,-0.1572071063244206,0.0,0.8550626238522052,0.0,-0.1572071063244206,143.18102396818452,0.0,0.8550626238522052,-778.754024280899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,90,17.113398,0.001103,5.35283195390366,0.2126953094266355,96,981,0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.23,-9.36,5.02,0.0,0.0,0.0,-30.125,-74.0625,143.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8083829098517916,-0.7122676779761853,-1.2397733879981672,0.18942846357822418,0.7428871393203735,-0.6420556902885437,0.9483858346939087,-0.3512204587459564,-0.07632750272750854,-0.2543249726295471,-0.5944579243659973,-0.762848973274231,-2.4960013475802603,0.2531373763309253,1.3664391293226656,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,32234.989763228998,-8808.226116999516,-5326.102021481471,0.0,0.2531373763309253,0.0,-2.4960013475802603,0.0,0.2531373763309253,-221.02113673893956,0.0,-2.4960013475802603,2169.515638643206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,120,17.775522,0.001098,5.317382735665888,0.2126953094266355,96,976,0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.21,11.07,0.0,0.0,0.0,28.75,41.0625,-135.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6216486272126174,-0.78310140409041,0.465189423809461,-0.33412787318229675,-0.2284832000732422,-0.9144145250320435,0.7659387588500977,0.04784619063138962,-0.12215744704008102,-0.549268901348114,-0.7412018179893494,0.3859061896800995,-1.070098963773464,0.5753448095734819,1.9863036928984723,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,24215.62020581244,782.7270316831487,-7757.9300265767315,0.0,0.5753448095734819,0.0,-1.070098963773464,0.0,0.5753448095734819,-526.2112810722934,0.0,-1.070098963773464,979.8824739070468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,150,18.438815,0.001118,5.281933517428115,0.2481445276644081,96,1384,0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.96,-3.15,4.85,0.0,0.0,0.0,-71.6875,-240.0625,348.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.127085998180653,3.7744329164536765,2.2082823626108787,-0.8573660850524902,0.3636598289012909,0.36424556374549866,0.514655351638794,0.6104179620742798,0.5966691970825195,-0.007289973087608814,0.6990249156951904,-0.7150601148605347,-7.1094759046466605,3.167503517412975,-0.5227368878863048,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,13390.51086467573,22756.766085009596,20427.97546200628,0.0,3.167503517412975,0.0,-7.1094759046466605,0.0,3.167503517412975,-2831.9418995231167,0.0,-7.1094759046466605,6358.672760682735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,180,19.102963,0.001122,5.35283195390366,0.2481445276644081,94,997,0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,11.6,2.2,0.0,0.0,0.0,-76.625,-69.875,144.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.519606693239357,1.7146546529411064,-0.5794946690733662,-0.7727728486061096,0.5526399612426758,0.31210774183273315,0.634414553642273,0.671043872833252,0.35454443097114563,-0.018447933718562126,0.4719879627227783,-0.8814119100570679,-6.791534427649891,3.134458091788804,-0.6913440010491018,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,17519.294925486607,25535.609446380855,11686.511262389497,0.0,3.134458091788804,0.0,-6.791534427649891,0.0,3.134458091788804,-2809.4593428975495,0.0,-6.791534427649891,6088.542078840199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,0,210,19.76563,0.001124,5.35283195390366,0.2481445276644081,96,1003,0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,-1.22,5.28,0.0,0.0,0.0,278.5625,294.125,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.853628395075659,6.747400785879755,-6.888797999238608,0.21547970175743103,-0.9503588676452637,-0.22446958720684052,-0.1760115772485733,-0.6293721199035645,-0.9662096500396729,0.9605146646499634,0.247707799077034,-0.12669815123081207,-4.195352099536828,-1.2515830236154863,-0.7293743241273295,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,-3873.2854156819185,-23891.032777643668,-33120.22417703963,0.0,-1.2515830236154863,0.0,-4.195352099536828,0.0,-1.2515830236154863,1124.2230885042545,0.0,-4.195352099536828,3752.8823226502855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405707998,
3735928559,1,240,20.461754,0.00138,5.423730390379205,0.28359374590218067,147,1159,199,1160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.84,1.06,-0.09,0.0,0.0,0.0,-58.3125,-122.875,44.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8473467269068053,-2.1873205922803063,0.9245984317962718,0.18167930841445923,-0.9818511605262756,-0.054414164274930954,0.9798501133918762,0.1006343737244606,-0.07424168288707733,0.08298394829034805,-0.039829548448324203,0.995754599571228,-9.46995958614354,-3.0741576268336495,4.535098267041463,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,33393.94575656637,-213.91881870867402,-1131.0084644353974,0.0,-3.0741576268336495,0.0,-9.46995958614354,24767.591307345585,1194.20926789848,-983.6463180900485,-1326.3485466939637,1047.7712371758012,-5159.725978672397,35877.961460637656,-892.3743819645675,-146792.899392313,5064.861189411926,-5376.646931672805,-92397.29393665526,1511.9998158768,929.1486786338812,79.0,68.0,3405707998,
3735928559,1,270,21.136236,0.001376,5.423730390379205,0.2481445276644081,145,1156,196,1157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22,2.72,2.48,0.0,0.0,0.0,-103.4375,99.0,48.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5094904664305737,1.8416186283707001,-2.903367474283228,-0.20515601336956024,-0.9481186270713806,-0.2428622990846634,-0.5330970883369446,-0.4062565565109253,-0.7846843004226685,0.8208035230636597,-0.03151349723339081,-0.5703405737876892,-9.356677944854935,-0.9462267269746546,4.320799230964769,0.9012032510092274,0.42622564405078467,-0.07097589972190012,-0.42622564405078467,-17246.51925602321,-17067.384770184646,-27876.990982586845,0.0,-0.9462267269746546,0.0,-9.356677944854935,32882.574310580196,-3766.0987461140103,-58464.495095430786,-6689.002463087803,-3901.4022218573145,-18805.496621483282,-185878.7464153231,-60484.33882364076,1000458.7000060049,185660.2098642495,-20484.10159701811,670709.7732960111,-10463.200143236183,-6976.360639886278,112.0,93.0,3405707998,
