magic_number,mode,euler_x,euler_y,dt,dt_observer,footer,
3735928559,0,0.006236440036445856,0.012473365291953087,4235.89306640625,0.0,3405707998,
3735928559,0,0.006237771362066269,0.01220540888607502,0.0019180000526830554,59145492.0,3405707998,
3735928559,0,0.006366024725139141,0.012674979865550995,0.001145999995060265,59213404.0,3405707998,
3735928559,0,0.006357391364872456,0.01261937152594328,0.001154000055976212,59281912.0,3405707998,
3735928559,0,0.006476592272520065,0.012221848592162132,0.0011549999471753836,59350536.0,3405707998,
3735928559,0,0.00627270620316267,0.012233751825988293,0.0014120000414550304,59418384.0,3405707998,
3735928559,0,0.006197746377438307,0.01225281972438097,0.00216599996201694,59488280.0,3405707998,
3735928559,0,0.005906798876821995,0.012204507365822792,0.0021170000545680523,59558144.0,3405707998,
3735928559,0,0.005898574832826853,0.012229377403855324,0.0011520000407472253,59625764.0,3405707998,
3735928559,0,0.005762694403529167,0.012213769368827343,0.001151000033132732,59695704.0,3405707998,
3735928559,0,0.006149738561362028,0.01180848479270935,0.0011549999471753836,59764100.0,3405707998,
3735928559,0,0.006921769119799137,0.011009901762008667,0.0011500000255182385,59826988.0,3405707998,
3735928559,0,0.008074345998466015,0.012389535084366798,0.00215000007301569,59891172.0,3405707998,
3735928559,0,0.00943905021995306,0.012818878516554832,0.0019160000374540687,59959188.0,3405707998,
3735928559,0,0.02029954455792904,0.018982037901878357,0.0011530000483617187,60020868.0,3405707998,
3735928559,0,0.06402219086885452,0.06833186745643616,0.0011549999471753836,60084044.0,3405707998,
3735928559,0,0.12582994997501373,0.12081889808177948,0.0018119999440386891,60148720.0,3405707998,
3735928559,0,0.17265604436397552,0.15925417840480804,0.0013259999686852098,60213760.0,3405707998,
3735928559,0,0.23337632417678833,0.17908975481987,0.0011530000483617187,60275956.0,3405707998,
3735928559,0,0.3460758328437805,0.1840113252401352,0.0011500000255182385,60338156.0,3405707998,
3735928559,0,0.5006649494171143,0.18466418981552124,0.0021279999054968357,60402448.0,3405707998,
3735928559,0,0.6557680368423462,0.17747876048088074,0.0011620000004768372,60467796.0,3405707998,
3735928559,0,0.7142462730407715,0.16981232166290283,0.001164000015705824,60529068.0,3405707998,
3735928559,0,0.6510719656944275,0.16150255501270294,0.002142000012099743,60593776.0,3405707998,
3735928559,0,0.47319579124450684,0.15850573778152466,0.0011620000004768372,60659336.0,3405707998,
3735928559,0,0.23411200940608978,0.16147056221961975,0.001151000033132732,60721048.0,3405707998,
3735928559,0,-0.046162355691194534,0.14466597139835358,0.001383999944664538,60784988.0,3405707998,
3735928559,0,-0.3329167664051056,0.12213245034217834,0.001158999977633357,60849912.0,3405707998,
3735928559,0,-0.5851151347160339,0.10854397714138031,0.002124000107869506,60914568.0,3405707998,
3735928559,0,-0.7480621337890625,0.10138089209794998,0.0011660000309348106,60978128.0,3405707998,
3735928559,0,-0.8118244409561157,0.08684975653886795,0.0011630000080913305,61040632.0,3405707998,
3735928559,0,-0.8099982142448425,0.07705602794885635,0.001164000015705824,61107352.0,3405707998,
3735928559,0,-0.7908090949058533,0.06810078769922256,0.001164000015705824,61171220.0,3405707998,
3735928559,0,-0.7858847975730896,0.06971719115972519,0.0011650000233203173,61231648.0,3405707998,
3735928559,0,-0.776787281036377,0.07377240061759949,0.0021279999054968357,61296092.0,3405707998,
3735928559,0,-0.7198325991630554,0.08138104528188705,0.0011620000004768372,61361640.0,3405707998,
3735928559,0,-0.6163638830184937,0.0964006632566452,0.001164000015705824,61423044.0,3405707998,
3735928559,0,-0.47076496481895447,0.10915922373533249,0.0011579999700188637,61485264.0,3405707998,
3735928559,0,-0.2811066806316376,0.10799548774957657,0.0011520000407472253,61550768.0,3405707998,
3735928559,0,-0.09258212894201279,0.09681954979896545,0.0021120000164955854,61614816.0,3405707998,
3735928559,0,0.08209017664194107,0.07461749017238617,0.0011490000179037452,61676720.0,3405707998,
3735928559,0,0.17143602669239044,0.08171650767326355,0.0011500000255182385,61740224.0,3405707998,
3735928559,0,0.1587289720773697,0.0816674530506134,0.0017269999952986836,61804788.0,3405707998,
3735928559,0,0.11601520329713821,0.046837590634822845,0.002366000087931752,61869232.0,3405707998,
3735928559,0,0.07624436914920807,-0.0570359006524086,0.001154000055976212,61932124.0,3405707998,
3735928559,0,0.057005662471055984,-0.22500044107437134,0.0011599999852478504,61993776.0,3405707998,
3735928559,0,0.044439803808927536,-0.4454706609249115,0.002139999996870756,62058552.0,3405707998,
3735928559,0,0.02161192148923874,-0.6539484262466431,0.0011749999830499291,62123968.0,3405707998,
3735928559,0,-0.01018712017685175,-0.7392609715461731,0.0011690000537782907,62185360.0,3405707998,
3735928559,0,-0.02561967261135578,-0.7380872368812561,0.0021349999587982893,62249932.0,3405707998,
3735928559,0,-0.02843649685382843,-0.7382952570915222,0.0011729999678209424,62315664.0,3405707998,
3735928559,0,-0.04137016460299492,-0.730610728263855,0.0011790000135079026,62377520.0,3405707998,
3735928559,0,-0.055026017129421234,-0.6368466019630432,0.0011680000461637974,62438876.0,3405707998,
3735928559,0,-0.04828466475009918,-0.43128809332847595,0.0011520000407472253,62504340.0,3405707998,
3735928559,0,-0.003430362790822983,-0.1736542135477066,0.002174000022932887,62568600.0,3405707998,
3735928559,0,0.04685887694358826,0.07092521339654922,0.001154000055976212,62630280.0,3405707998,
3735928559,0,0.0531310960650444,0.2474880963563919,0.001154000055976212,62693908.0,3405707998,
3735928559,0,0.02779419720172882,0.3507762849330902,0.0012789999600499868,62757760.0,3405707998,
