magic_number, mode, euler[0], euler[1], euler[2], x[0], x[1], x[2], x[3], x[4], x[5], x[6], x[7], dt, footer, 
3735928559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.381961822509766,3405707998,
3735928559,0,-0.01645229384303093,0.31047266721725464,-0.03367404639720917,0.0,0.005418770015239716,0.1658044457435608,0.0,-0.0002871466858778149,0.023971443995833397,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,0.4717283546924591,0.9290061593055725,0.10248501598834991,0.0,0.016214216127991676,0.11413925141096115,0.0,0.008233212865889072,0.1633598506450653,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,1.9154613018035889,0.6688876748085022,0.6773207783699036,0.0,0.011674292385578156,-0.23930802941322327,0.0,0.03343110531568527,0.3334065079689026,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,4.44636344909668,-1.4382325410842896,1.7099854946136475,0.0,-0.02510189451277256,-0.2573898434638977,0.0,0.07760368287563324,0.5611476898193359,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,7.564568996429443,-4.361762046813965,2.736398696899414,0.0,-0.07612710446119308,-0.8644353151321411,0.0,0.13202662765979767,0.45577967166900635,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,9.727195739746094,-10.206513404846191,2.871013641357422,0.0,-0.17813727259635925,-1.1944905519485474,0.0,0.16977159678936005,0.3075968623161316,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,11.37350845336914,-16.930734634399414,2.1768722534179688,0.0,-0.2954970598220825,-1.1353102922439575,0.0,0.19850516319274902,0.3109133839607239,0.0,0.0,0.0032870001159608364,3405707998,
3735928559,0,13.44724178314209,-22.697790145874023,1.1254961490631104,0.0,-0.39615118503570557,-0.8818944096565247,0.0,0.23469865322113037,0.3968214690685272,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,15.736815452575684,-26.758337020874023,0.0037951741833239794,0.0,-0.467021107673645,-0.5508415102958679,0.0,0.27465924620628357,0.339042991399765,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,16.783843994140625,-29.304744720458984,-0.8964216709136963,0.0,-0.5114642977714539,-0.32323983311653137,0.0,0.2929333448410034,0.05337623134255409,0.0,0.0,0.0032870001159608364,3405707998,
3735928559,0,16.666040420532227,-30.58675765991211,-1.35030198097229,0.0,-0.5338396430015564,-0.12842118740081787,0.0,0.2908772826194763,-0.07201582193374634,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,16.375442504882812,-31.180316925048828,-1.5285277366638184,0.0,-0.5441991686820984,-0.1406785547733307,0.0,0.2858054041862488,0.036171019077301025,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,16.44301986694336,-31.467025756835938,-1.6201276779174805,0.0,-0.5492032170295715,0.056925129145383835,0.0,0.2869848310947418,0.011229799129068851,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,16.97329330444336,-30.998441696166992,-1.473844289779663,0.0,-0.5410248637199402,0.1156453937292099,0.0,0.2962398827075958,0.14327655732631683,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,17.49180030822754,-29.843355178833008,-1.0628604888916016,0.0,-0.5208648443222046,0.2538779377937317,0.0,0.30528950691223145,0.08604596555233002,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,17.966596603393555,-28.754329681396484,-0.6763331890106201,0.0,-0.5018577575683594,0.09681645035743713,0.0,0.31357628107070923,0.08892464637756348,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,18.3587703704834,-28.656234741210938,-0.6467467546463013,0.0,-0.500145673751831,-0.06074003502726555,0.0,0.3204209804534912,0.004001898691058159,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,18.3331298828125,-28.98341178894043,-0.7476539611816406,0.0,-0.5058559775352478,-0.013798020780086517,0.0,0.31997349858283997,-0.038191698491573334,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,18.36953353881836,-29.04853630065918,-0.7666155099868774,0.0,-0.5069925785064697,-0.010009625926613808,0.0,0.32060882449150085,0.06356951594352722,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,18.79695701599121,-29.142059326171875,-0.8163737058639526,0.0,-0.5086249113082886,0.004853707738220692,0.0,0.3280687928199768,0.1266467571258545,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,19.55353546142578,-29.00567626953125,-0.7780794501304626,0.0,-0.5062445402145386,0.07057423889636993,0.0,0.34127357602119446,0.13928233087062836,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,19.639442443847656,-28.15521240234375,-0.4074633717536926,0.0,-0.49140113592147827,0.22518667578697205,0.0,0.3427729308605194,-0.11604639142751694,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,18.63504409790039,-26.661447525024414,0.1994740217924118,0.0,-0.4653300344944,0.2366340011358261,0.0,0.32524287700653076,-0.1582295000553131,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,17.259592056274414,-25.273677825927734,0.6913105249404907,0.0,-0.44110891222953796,0.2641243040561676,0.0,0.30123671889305115,-0.2887710928916931,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,16.846973419189453,-24.50743865966797,0.8737348318099976,0.0,-0.42773547768592834,-0.08482003957033157,0.0,0.2940351665019989,0.11676640808582306,0.0,0.0,0.003286000108346343,3405707998,
3735928559,0,15.970989227294922,-23.852792739868164,1.0488778352737427,0.0,-0.41630977392196655,0.4414929747581482,0.0,0.2787463665008545,-0.44378548860549927,0.0,0.0,0.0032870001159608364,3405707998,
